Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1994-08-02,8.3186,8.3186,8.3186,8.3186,345454
1994-08-03,9.1367,9.1367,9.1367,9.1367,323645
1994-08-04,10.043,10.043,10.043,10.043,353804
1994-08-08,9.1367,9.1367,9.1367,9.1367,262362
1994-08-09,10.783,10.783,10.783,10.783,134795
1994-08-10,10.172,10.172,10.172,10.172,155518
1994-08-11,9.965,9.965,9.965,9.965,127236
1994-08-16,10.586,10.586,10.586,10.586,81051
1994-08-17,11.118,11.118,11.118,11.118,82066
1994-08-18,10.004,10.004,10.004,10.004,54287
1994-08-22,10.379,10.379,10.379,10.379,104519
1994-08-23,9.551,9.551,9.551,9.551,68110
1994-08-24,9.3436,9.3436,9.3436,9.3436,75628
1994-08-25,8.3975,8.3975,8.3975,8.3975,63757
1994-08-29,9.0972,9.0972,9.0972,9.0972,88328
1994-08-30,9.0578,9.0578,9.0578,9.0578,57309
1994-08-31,8.5256,8.5256,8.5256,8.5256,46534
1994-09-01,8.3186,8.3186,8.3186,8.3186,67821
1994-09-05,7.9046,7.9046,7.9046,7.9046,42903
1994-09-06,7.1063,7.1063,7.1063,7.1063,37559
1994-09-07,6.4065,6.4065,6.4065,6.4065,156055
1994-09-08,7.0176,7.0176,7.0176,7.0176,86375
1994-09-12,7.6977,7.6977,7.6977,7.6977,108167
1994-09-13,6.9387,6.9387,6.9387,6.9387,162793
1994-09-14,7.057,7.057,7.057,7.057,67505
1994-09-15,6.919,6.919,6.919,6.919,39146
1994-09-19,6.8993,6.8993,6.8993,6.8993,54652
1994-09-20,6.2192,6.2192,6.2192,6.2192,62956
1994-09-21,5.6574,5.6574,5.6574,5.6574,89233
1994-09-22,5.8841,5.8841,5.8841,5.8841,78965
1994-09-26,5.7264,5.7264,5.7264,5.7264,49653
1994-09-27,5.3125,5.3125,5.3125,5.3125,56250
1994-09-28,5.3125,5.3125,5.3125,5.3125,101352
1994-09-29,5.618,5.618,5.618,5.618,50843
1994-10-03,6.1798,6.1798,6.1798,6.1798,104050
1994-10-04,6.239,6.239,6.239,6.239,123209
1994-10-05,6.8599,6.8599,6.8599,6.8599,79752
1994-10-06,6.7515,6.7515,6.7515,6.7515,99385
1994-10-07,6.8796,6.8796,6.8796,6.8796,81622
1994-10-10,6.7515,6.7515,6.7515,6.7515,51917
1994-10-11,6.4459,6.4459,6.4459,6.4459,54154
1994-10-12,6.4459,6.4459,6.4459,6.4459,47958
1994-10-13,5.8053,5.8053,5.8053,5.8053,87402
1994-10-14,6.3572,6.3572,6.3572,6.3572,125931
1994-10-17,6.6529,6.6529,6.6529,6.6529,90568
1994-10-18,6.8599,6.8599,6.8599,6.8599,89329
1994-10-19,6.7515,6.7515,6.7515,6.7515,43955
1994-10-20,6.6332,6.6332,6.6332,6.6332,117144
1994-10-21,6.2981,6.2981,6.2981,6.2981,59563
1994-10-24,5.825,5.825,5.825,5.825,58856
1994-10-25,5.9038,5.9038,5.9038,5.9038,45473
1994-10-26,5.9334,5.9334,5.9334,5.9334,113044
1994-10-27,5.618,5.618,5.618,5.618,31772
1994-10-28,5.4997,5.4997,5.4997,5.4997,27841
1994-11-02,6.0517,6.0517,6.0517,6.0517,41157
1994-11-03,5.9925,5.9925,5.9925,5.9925,16975
1994-11-04,5.9728,5.9728,5.9728,5.9728,44506
1994-11-07,5.9334,5.9334,5.9334,5.9334,34871
1994-11-08,5.9334,5.9334,5.9334,5.9334,20103
1994-11-09,5.9531,5.9531,5.9531,5.9531,52106
1994-11-10,5.9531,5.9531,5.9531,5.9531,44645
1994-11-14,5.9334,5.9334,5.9334,5.9334,36996
1994-11-15,5.4997,5.4997,5.4997,5.4997,41835
1994-11-16,5.4997,5.4997,5.4997,5.4997,70502
1994-11-17,5.3913,5.3913,5.3913,5.3913,22593
1994-11-18,5.7067,5.7067,5.7067,5.7067,44754
1994-11-21,5.1252,5.1252,5.1252,5.1252,17791
1994-11-22,4.6324,4.6324,4.6324,4.6324,56923
1994-11-23,4.6915,4.6915,4.6915,4.6915,32053
1994-11-24,4.6718,4.6718,4.6718,4.6718,22018
1994-11-25,4.6915,4.6915,4.6915,4.6915,13698
1994-11-28,5.1252,5.1252,5.1252,5.1252,34757
1994-11-29,5.6377,5.6377,5.6377,5.6377,81058
1994-11-30,6.1108,6.1108,6.1108,6.1108,73096
1994-12-01,6.0714,6.0714,6.0714,6.0714,78168
1994-12-02,5.4505,5.4505,5.4505,5.4505,48606
1994-12-05,5.7264,5.7264,5.7264,5.7264,34810
1994-12-06,5.5983,5.5983,5.5983,5.5983,34353
1994-12-07,5.7264,5.7264,5.7264,5.7264,87519
1994-12-08,5.1449,5.1449,5.1449,5.1449
1994-12-09,4.6915,4.6915,4.6915,4.6915,37273
1994-12-12,5.0858,5.0858,5.0858,5.0858,62460
1994-12-13,4.8985,4.8985,4.8985,4.8985,32840
1994-12-14,4.8,4.8,4.8,4.8,53685
1994-12-15,4.8985,4.8985,4.8985,4.8985,20708
1994-12-16,5.3716,5.3716,5.3716,5.3716,76517
1994-12-19,5.2928,5.2928,5.2928,5.2928,28308
1994-12-20,5.2336,5.2336,5.2336,5.2336,26749
1994-12-21,5.1449,5.1449,5.1449,5.1449,14628
1994-12-22,5.2928,5.2928,5.2928,5.2928,10800
1994-12-23,5.2928,5.2928,5.2928,5.2928,15945
1994-12-27,5.2533,5.2533,5.2533,5.2533,15277
1994-12-28,5.0858,5.0858,5.0858,5.0858,16960
1994-12-29,5.1252,5.1252,5.1252,5.1252,20465
1995-01-02,5.6377,5.6377,5.6377,5.6377,79601
1995-01-03,5.3519,5.3519,5.3519,5.3519,55208
1995-01-04,5.4997,5.4997,5.4997,5.4997,22379
1995-01-05,5.618,5.618,5.618,5.618,21711
1995-01-06,5.3322,5.3322,5.3322,5.3322,15569
1995-01-09,5.4505,5.4505,5.4505,5.4505,12285
1995-01-10,5.4505,5.4505,5.4505,5.4505,41978
1995-01-11,5.48,5.48,5.48,5.48,26754
1995-01-12,5.5392,5.5392,5.5392,5.5392,18603
1995-01-13,5.618,5.618,5.618,5.618,38434
1995-01-16,5.5589,5.5589,5.5589,5.5589,11605
1995-01-17,5.4997,5.4997,5.4997,5.4997,25287
1995-01-18,5.411,5.411,5.411,5.411,29277
1995-01-19,5.4997,5.4997,5.4997,5.4997,9280
1995-01-20,5.48,5.48,5.48,5.48,14884
1995-01-23,5.2928,5.2928,5.2928,5.2928,26370
1995-01-24,5.0069,5.0069,5.0069,5.0069,18991
1995-01-25,4.9774,4.9774,4.9774,4.9774,144928
1995-01-26,4.9774,4.9774,4.9774,4.9774,24390
1995-01-27,5.0266,5.0266,5.0266,5.0266,21600
1995-01-30,4.9774,4.9774,4.9774,4.9774,32119
1995-01-31,4.9774,4.9774,4.9774,4.9774,50083
1995-02-01,5.0858,5.0858,5.0858,5.0858,22515
1995-02-02,5.0858,5.0858,5.0858,5.0858,43760
1995-02-03,4.9774,4.9774,4.9774,4.9774,30915
1995-02-06,5.2336,5.2336,5.2336,5.2336,6502
1995-02-07,5.7659,5.7659,5.7659,5.7659,70005
1995-02-08,5.6574,5.6574,5.6574,5.6574,41335
1995-02-09,5.2928,5.2928,5.2928,5.2928,16259
1995-02-10,5.2928,5.2928,5.2928,5.2928,42718
1995-02-13,5.1843,5.1843,5.1843,5.1843,4432
1995-02-14,5.3913,5.3913,5.3913,5.3913,10291
1995-02-15,5.2533,5.2533,5.2533,5.2533,8573
1995-02-16,5.3716,5.3716,5.3716,5.3716,7352
1995-02-17,5.3125,5.3125,5.3125,5.3125,8474
1995-02-20,5.1252,5.1252,5.1252,5.1252,6925
1995-02-21,4.8591,4.8591,4.8591,4.8591,31905
1995-02-22,4.9182,4.9182,4.9182,4.9182,17684
1995-02-23,5.0069,5.0069,5.0069,5.0069,24487
1995-02-24,5.4997,5.4997,5.4997,5.4997,93331
1995-02-27,4.9577,4.9577,4.9577,4.9577,26202
1995-02-28,4.9774,4.9774,4.9774,4.9774,17463
1995-03-01,5.0464,5.0464,5.0464,5.0464,11398
1995-03-02,5.1843,5.1843,5.1843,5.1843,15517
1995-03-03,5.2533,5.2533,5.2533,5.2533,14381
1995-03-06,5.2336,5.2336,5.2336,5.2336,27635
1995-03-07,5.1843,5.1843,5.1843,5.1843,26120
1995-03-08,5.2533,5.2533,5.2533,5.2533,11238
1995-03-09,5.273,5.273,5.273,5.273,15751
1995-03-10,5.2041,5.2041,5.2041,5.2041,24959
1995-03-13,5.1646,5.1646,5.1646,5.1646,27674
1995-03-14,5.0858,5.0858,5.0858,5.0858,7869
1995-03-15,5.1843,5.1843,5.1843,5.1843,10699
1995-03-16,5.0858,5.0858,5.0858,5.0858,9438
1995-03-17,5.1055,5.1055,5.1055,5.1055,18507
1995-03-20,5.0266,5.0266,5.0266,5.0266,17618
1995-03-21,5.0464,5.0464,5.0464,5.0464,14670
1995-03-22,5.0266,5.0266,5.0266,5.0266,15826
1995-03-23,4.9774,4.9774,4.9774,4.9774,25191
1995-03-24,5.0069,5.0069,5.0069,5.0069,6397
1995-03-27,5.0266,5.0266,5.0266,5.0266,15928
1995-03-28,4.9577,4.9577,4.9577,4.9577,12091
1995-03-29,4.8591,4.8591,4.8591,4.8591,6791
1995-03-30,4.8788,4.8788,4.8788,4.8788,11988
1995-03-31,4.9774,4.9774,4.9774,4.9774,16057
1995-04-03,5.0858,5.0858,5.0858,5.0858,13670
1995-04-04,5.1843,5.1843,5.1843,5.1843,35855
1995-04-05,5.1843,5.1843,5.1843,5.1843,24191
1995-04-06,5.2533,5.2533,5.2533,5.2533,57435
1995-04-07,5.3913,5.3913,5.3913,5.3913,67116
1995-04-10,5.9531,5.9531,5.9531,5.9531,102784
1995-04-11,5.9925,5.9925,5.9925,5.9925,63269
1995-04-12,5.9925,5.9925,5.9925,5.9925,76623
1995-04-13,5.7264,5.7264,5.7264,5.7264,70507
1995-04-14,5.8644,5.8644,5.8644,5.8644,40649
1995-04-18,6.3375,6.3375,6.3375,6.3375,18530
1995-04-19,6.9585,6.9585,6.9585,6.9585,69845
1995-04-20,6.8599,6.8599,6.8599,6.8599,83589
1995-04-21,6.6529,6.6529,6.6529,6.6529,77906
1995-04-24,6.9782,6.9782,6.9782,6.9782,69568
1995-04-25,6.8599,6.8599,6.8599,6.8599,105762
1995-04-26,6.2981,6.2981,6.2981,6.2981,49054
1995-04-27,6.4065,6.4065,6.4065,6.4065,82397
1995-04-28,6.4459,6.4459,6.4459,6.4459,93664
1995-05-04,6.6726,6.6726,6.6726,6.6726,70843
1995-05-05,6.8993,6.8993,6.8993,6.8993,75550
