Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-10-19,49.056,49.15,44.615,47.443,59332
2016-10-20,47.253,47.443,45.602,47.443,6954
2016-10-21,46.589,47.443,46.57,47.395,1286
2016-10-24,47.443,50.29,47.386,49.758,9612
2016-10-25,49.815,49.815,48.392,49.53,8049
2016-10-26,49.341,49.341,47.917,47.917,1554
2016-10-27,48.392,48.392,46.968,48.382,283
2016-10-28,47.547,48.202,47.547,48.202,210
2016-10-31,47.443,49.332,47.443,49.322,1561
2016-11-02,49.332,49.341,48.26,49.245,551
2016-11-03,49.245,49.245,48.25,48.866,498
2016-11-04,48.771,48.771,47.679,48.392,131
2016-11-07,48.392,48.392,47.917,48.363,449
2016-11-08,48.363,48.363,47.699,48.013,50
2016-11-09,48.297,48.392,47.727,48.392,680
2016-11-10,48.392,48.392,47.253,48.108,1057
2016-11-14,48.392,48.392,48.297,48.297,125
2016-11-15,48.287,48.287,47.253,47.917,1368
2016-11-16,47.917,47.917,46.503,47.917,384
2016-11-17,48.297,48.297,46.304,46.304,884
2016-11-18,46.494,46.494,44.624,44.624,1720
2016-11-21,44.51,44.51,42.841,43.638,1549
2016-11-22,42.841,43.638,42.841,42.907,1216
2016-11-23,42.907,42.907,42.603,42.841,670
2016-11-24,42.888,42.888,39.008,42.224,7214
2016-11-25,42.907,44.597,42.224,44.587,855
2016-11-28,44.587,44.587,44.482,44.482,236
2016-11-29,44.502,46.21,43.647,46.019,5790
2016-11-30,46.019,47.917,45.07,47.443,3224
2016-12-01,47.443,47.443,45.355,47.443,360
2016-12-02,47.443,47.443,45.925,47.386,355
2016-12-05,47.395,47.395,46.019,46.067,114
2016-12-06,47.405,47.405,45.83,47.11,830
2016-12-07,47.11,47.11,45.933,47.053,194
2016-12-08,45.925,46.968,45.925,46.968,607
2016-12-09,47.053,47.053,45.906,46.958,567
2016-12-12,46.958,47.016,45.906,45.906,785
2016-12-13,45.906,47.424,45.906,46.958,895
2016-12-14,47.158,47.158,46.494,46.494,94
2016-12-15,46.494,46.494,45.925,46.494,284
2016-12-16,46.494,46.494,44.891,45.545,748
2016-12-19,43.942,46.295,43.704,45.925,4745
2016-12-20,44.502,46.019,44.502,45.535,326
2016-12-21,45.535,45.535,43.751,43.751,1557
2016-12-22,45.061,45.061,43.667,43.667,57
2016-12-23,44.113,44.113,43.647,43.885,972
2016-12-27,43.932,44.852,43.315,44.843,1681
2016-12-28,44.597,44.597,43.315,44.027,686
2016-12-29,44.786,46.494,44.502,46.019,2627
2016-12-30,45.545,47.11,45.545,47.11,1924
2017-01-02,47.235,47.235,45.213,46.95,2504
2017-01-03,47.235,47.235,44.587,44.587,1027
2017-01-04,45.526,45.526,44.597,44.597,82
2017-01-05,44.597,45.393,43.647,43.647,2596
2017-01-09,43.647,44.121,43.647,43.676,721
2017-01-10,43.676,43.724,43.079,43.647,2312
2017-01-11,43.647,43.647,43.088,43.144,954
2017-01-12,43.552,43.552,42.224,42.983,1153
2017-01-13,43.552,43.552,42.243,42.699,670
2017-01-16,42.243,42.642,41.75,42.233,947
2017-01-17,42.271,42.271,41.465,41.512,1892
2017-01-18,41.512,41.655,41.37,41.655,299
2017-01-19,41.75,41.75,40.8,41.512,2019
2017-01-20,41.74,41.74,40.8,41.645,428
2017-01-23,41.73,41.73,40.8,41.636,415
2017-01-24,41.797,41.797,40.8,41.276,587
2017-01-25,40.82,41.276,40.611,40.895,1490
2017-01-26,41.845,42.215,40.924,42.215,354
2017-01-27,42.215,42.215,41.086,41.427,527
2017-01-30,40.924,42.518,40.924,42.509,2579
2017-01-31,42.509,46.399,42.509,44.644,3402
2017-02-01,44.587,45.535,44.587,45.507,999
2017-02-02,45.545,45.83,45.166,45.545,1593
2017-02-03,45.545,45.545,45.07,45.07,174
2017-02-06,45.07,45.535,45.07,45.535,347
2017-02-07,45.535,45.535,44.976,45.403,784
2017-02-08,45.535,45.535,45.308,45.488,99
2017-02-09,45.497,46.399,44.976,46.2,807
2017-02-10,45.555,46.21,45.545,45.545,305
2017-02-13,45.555,46.589,45.545,46.494,1462
2017-02-14,46.826,46.826,45.734,46.114,511
2017-02-15,46.494,46.712,45.582,46.712,172
2017-02-16,46.712,46.712,45.649,46.58,202
2017-02-17,46.494,46.494,45.582,45.659,107
2017-02-20,46.674,46.826,46.494,46.826,1325
2017-02-21,46.826,47.917,46.019,47.585,9185
2017-02-22,47.585,48.173,46.968,47.537,1446
2017-02-23,47.917,47.956,47.253,47.443,629
2017-02-24,47.443,47.443,46.779,47.443,828
2017-02-27,48.534,51.238,48.534,49.397,7514
2017-02-28,49.881,54.322,49.292,53.136,22574
2017-03-01,54.559,55.982,53.706,54.312,21130
2017-03-02,55.034,59.493,55.034,58.64,31283
2017-03-03,60.253,63.573,58.829,61.296,16122
2017-03-06,61.486,61.666,59.398,61.153,17960
2017-03-07,58.64,59.635,54.275,55.992,13035
2017-03-08,55.935,57.88,53.24,54.084,6281
2017-03-09,55.034,56.457,53.611,55.945,4582
2017-03-10,56.827,58.829,55.251,58.64,4855
2017-03-13,59.493,59.873,58.839,59.75,8179
2017-03-14,59.493,59.826,58.64,59.665,1605
2017-03-15,59.493,59.986,58.355,59.968,3678
2017-03-16,59.986,59.986,59.351,59.777,4041
2017-03-17,59.304,60.727,59.304,59.777,4438
2017-03-20,60.613,61.675,60.347,60.917,10993
2017-03-21,61.183,62.151,61.011,61.296,5081
2017-03-22,61.58,62.046,59.777,61.201,3068
2017-03-23,61.77,61.913,60.253,61.201,3003
2017-03-24,61.675,62.056,59.588,60.727,3090
2017-03-27,60.727,60.727,58.364,60.717,1928
2017-03-28,60.727,60.727,57.406,60.528,2163
2017-03-29,60.442,60.442,57.426,58.725,1929
2017-03-30,58.725,58.725,56.989,58.535,642
2017-03-31,59.854,59.854,57.027,58.042,1643
2017-04-03,59.777,59.777,55.129,55.982,2447
2017-04-04,56.837,56.922,55.982,56.884,435
2017-04-05,56.457,56.931,55.518,56.931,668
2017-04-06,56.94,57.87,56.457,57.776,1126
2017-04-07,57.767,57.767,56.627,56.931,176
2017-04-10,56.94,57.87,55.138,56.922,2691
2017-04-11,55.508,56.893,53.99,55.034,3641
2017-04-12,54.559,55.508,54.559,55.508,626
2017-04-13,55.508,55.508,53.516,54.559,4827
2017-04-18,54.084,54.94,54.084,54.94,1185
2017-04-19,55.025,55.025,54.179,54.748,212
2017-04-20,55.025,58.269,55.025,57.719,11453
2017-04-21,57.719,57.862,56.599,57.852,1871
2017-04-24,57.852,57.852,56.979,57.852,1433
2017-04-25,57.406,57.406,56.124,57.027,756
2017-04-26,56.931,56.931,53.516,54.464,3041
2017-04-27,55.034,56.913,55.034,56.552,176
2017-04-28,56.552,56.552,55.508,56.552,861
2017-05-02,56.647,56.647,55.508,56.306,538
2017-05-04,56.371,56.371,54.084,55.499,3147
2017-05-05,55.499,55.499,54.084,54.084,1232
2017-05-08,54.084,54.559,53.8,53.8,180
2017-05-09,53.81,53.81,50.668,52.651,3087
2017-05-10,51.238,54.464,51.238,53.611,1403
2017-05-11,53.601,53.611,52.946,53.611,2240
2017-05-12,53.611,53.611,50.82,53.601,643
2017-05-15,53.127,53.136,50.916,53.041,729
2017-05-16,53.041,53.041,50.811,50.811,1193
2017-05-17,52.188,52.188,47.443,49.341,2960
2017-05-18,50.1,50.29,48.866,48.866,406
2017-05-19,48.866,52.188,48.819,52.188,479
2017-05-22,52.188,52.188,51.238,52.188,262
2017-05-23,52.188,52.188,51.295,52.188,561
2017-05-24,52.188,52.188,52.168,52.168,19
2017-05-25,52.188,53.723,51.238,53.723,1191
2017-05-26,53.895,53.895,51.997,51.997,194
2017-05-29,53.895,54.275,51.001,54.275,393
2017-05-30,54.265,55.413,51.855,55.413,3095
2017-05-31,55.413,56.219,54.076,54.076,1958
2017-06-01,54.076,56.266,54.076,55.698,1481
2017-06-02,55.972,55.972,54.796,54.891,197
2017-06-05,55.67,56.742,55.66,55.982,648
2017-06-06,56.808,56.808,55.034,56.742,959
2017-06-07,56.808,56.808,55.034,56.552,5519
2017-06-08,56.789,56.789,56.647,56.647,12
2017-06-09,56.808,56.808,56.798,56.798,2
2017-06-12,55.859,55.964,52.196,54.94,1078
2017-06-13,55.034,56.931,55.034,55.972,5145
2017-06-14,55.982,57.5,55.442,57.311,12136
2017-06-16,56.931,57.767,56.931,57.406,605
2017-06-19,57.027,57.311,56.931,57.311,1623
2017-06-20,57.88,57.88,54.559,54.559,6703
2017-06-21,55.034,55.034,54.559,54.94,1313
2017-06-22,55.982,57.69,55.518,56.457,6325
2017-06-23,56.931,56.931,55.982,56.903,398
2017-06-26,56.931,56.931,54.654,56.913,838
2017-06-27,56.913,56.913,55.982,55.982,111
2017-06-28,56.457,56.931,55.982,56.172,787
2017-06-29,56.457,56.931,55.982,56.931,404
2017-06-30,56.931,57.88,56.087,57.852,2645
2017-07-03,57.852,58.829,57.852,58.61,3896
2017-07-04,58.64,58.819,57.928,58.516,1337
2017-07-05,58.498,58.498,56.457,56.457,1458
2017-07-06,57.396,57.396,56.077,56.827,843
2017-07-07,56.837,58.137,56.837,58.137,267
2017-07-10,59.304,59.304,58.829,58.829,1559
2017-07-11,58.829,59.189,56.931,57.027,1521
2017-07-12,57.88,57.88,57.406,57.406,747
2017-07-13,57.88,57.88,56.931,57.87,187
2017-07-14,57.87,57.88,56.457,57.776,464
2017-07-17,57.786,57.88,56.504,57.88,1033
2017-07-18,58.346,58.346,56.552,56.931,714
2017-07-19,57.88,58.155,56.931,57.88,1337
2017-07-20,57.975,57.975,57.88,57.88,430
2017-07-21,57.975,58.164,55.508,56.931,2163
2017-07-24,56.837,56.837,51.153,53.706,15498
2017-07-25,54.843,56.827,54.748,55.878,4946
2017-07-26,55.859,56.353,55.034,55.982,2186
2017-07-27,53.373,56.742,53.373,56.742,8754
2017-07-28,57.595,57.595,55.062,56.922,34672
2017-07-31,57.88,58.355,55.508,57.87,6274
2017-08-01,58.07,58.07,56.533,57.406,3379
2017-08-02,58.355,58.355,56.931,57.833,5155
2017-08-03,57.88,57.88,56.362,57.112,1522
2017-08-04,57.311,57.311,55.176,56.884,935
2017-08-07,56.875,56.875,55.062,56.875,2488
2017-08-08,56.827,56.837,55.67,56.011,5524
2017-08-09,56.761,56.761,53.145,54.559,5192
2017-08-10,56.457,56.457,53.658,55.034,1031
2017-08-11,56.266,56.266,53.136,55.034,373
2017-08-14,55.982,55.982,54.084,55.034,1056
2017-08-16,55.034,55.034,53.145,55.034,1665
2017-08-17,55.025,55.025,53.24,54.084,295
2017-08-18,53.373,53.706,52.188,53.231,1446
2017-08-21,54.987,56.808,54.464,55.499,9411
2017-08-22,55.651,56.457,55.651,56.448,6312
2017-08-23,56.789,56.884,55.982,56.457,866
2017-08-24,56.457,56.457,56.002,56.315,4486
2017-08-25,56.457,56.457,56.172,56.172,4274
2017-08-28,56.931,56.931,55.982,55.982,8297
2017-08-29,56.903,56.903,55.982,56.627,10742
2017-08-30,56.457,58.355,56.362,58.355,7590
2017-08-31,58.829,59.588,57.88,58.829,28454
2017-09-01,58.829,60.034,58.829,60.034,12645
2017-09-04,59.769,60.717,59.769,60.528,6925
2017-09-05,60.528,60.717,60.062,60.613,4965
2017-09-06,60.538,60.538,60.062,60.062,9522
2017-09-07,60.253,60.253,57.027,58.829,7202
2017-09-08,58.829,60.148,58.829,60.062,682
2017-09-11,60.632,62.862,60.538,62.862,67553
2017-09-12,63.469,65.281,61.675,64.712,13241
2017-09-13,64.712,65.472,64.522,65.281,6418
2017-09-14,64.854,64.854,62.634,64.598,4538
2017-09-15,64.532,64.532,63.099,64.048,3972
2017-09-18,64.048,68.983,64.048,67.843,4994
2017-09-19,67.369,68.783,64.902,66.04,4012
2017-09-20,66.876,66.876,64.912,64.912,1753
2017-09-21,65.367,65.472,63.108,64.494,4016
2017-09-22,64.475,64.475,62.625,63.858,1225
2017-09-25,63.384,63.384,60.68,60.774,10158
2017-09-26,61.675,61.675,57.453,60.243,4807
