Data,Zamkniecie
2010-01-04,1.3207
2010-01-05,1.3503
2010-01-06,1.3306
2010-01-07,1.2912
2010-01-08,1.3306
2010-01-11,1.3306
2010-01-12,1.301
2010-01-13,1.3306
2010-01-14,1.3306
2010-01-15,1.3404
2010-01-18,1.3207
2010-01-19,1.3404
2010-01-20,1.3306
2010-01-21,1.3207
2010-01-22,1.301
2010-01-25,1.2813
2010-01-26,1.2419
2010-01-27,1.2517
2010-01-28,1.2616
2010-01-29,1.2616
2010-02-01,1.232
2010-02-02,1.2419
2010-02-03,1.2714
2010-02-04,1.232
2010-02-05,1.2123
2010-02-08,1.1926
2010-02-09,1.2025
2010-02-10,1.1827
2010-02-11,1.1827
2010-02-12,1.1827
2010-02-15,1.163
2010-02-16,1.1926
2010-02-17,1.2222
2010-02-18,1.232
2010-02-19,1.232
2010-02-22,1.232
2010-02-23,1.232
2010-02-24,1.232
2010-02-25,1.2123
2010-02-26,1.232
2010-03-01,1.2419
2010-03-02,1.2419
2010-03-03,1.2419
2010-03-04,1.2222
2010-03-05,1.2222
2010-03-08,1.2222
2010-03-09,1.2517
2010-03-10,1.2912
2010-03-11,1.2714
2010-03-12,1.2714
2010-03-15,1.2714
2010-03-16,1.3306
2010-03-17,1.3602
2010-03-18,1.3109
2010-03-19,1.3306
2010-03-22,1.3503
2010-03-23,1.3799
2010-03-24,1.3897
2010-03-25,1.4094
2010-03-26,1.2813
2010-03-29,1.232
2010-03-30,1.2025
2010-03-31,1.232
2010-04-01,1.2419
2010-04-06,1.2419
2010-04-07,1.2123
2010-04-08,1.2222
2010-04-09,1.2025
2010-04-12,1.1827
2010-04-13,1.2123
2010-04-14,1.2123
2010-04-15,1.232
2010-04-16,1.2222
2010-04-19,1.1827
2010-04-20,1.1926
2010-04-21,1.2025
2010-04-22,1.1827
2010-04-23,1.2025
2010-04-26,1.2025
2010-04-27,1.1926
2010-04-28,1.1827
2010-04-29,1.1532
2010-04-30,1.1827
2010-05-04,1.1532
2010-05-05,1.1532
2010-05-06,1.163
2010-05-07,1.1335
2010-05-10,1.1827
2010-05-11,1.1532
2010-05-12,1.2419
2010-05-13,1.2714
2010-05-14,1.232
2010-05-17,1.232
2010-05-18,1.2714
2010-05-19,1.2025
2010-05-20,1.2025
2010-05-21,1.2025
2010-05-24,1.2025
2010-05-25,1.163
2010-05-26,1.2517
2010-05-27,1.2517
2010-05-28,1.2616
2010-05-31,1.2419
2010-06-01,1.2025
2010-06-02,1.232
2010-06-04,1.2123
2010-06-07,1.2123
2010-06-08,1.2714
2010-06-09,1.2813
2010-06-10,1.3207
2010-06-11,1.3306
2010-06-14,1.3207
2010-06-15,1.2813
2010-06-16,1.301
2010-06-17,1.2912
2010-06-18,1.3207
2010-06-21,1.3799
2010-06-22,1.37
2010-06-23,1.37
2010-06-24,1.4784
2010-06-25,1.4587
2010-06-28,1.4489
2010-06-29,1.4686
2010-06-30,1.439
2010-07-01,1.3503
2010-07-02,1.4094
2010-07-05,1.4193
2010-07-06,1.3996
2010-07-07,1.3897
2010-07-08,1.3996
2010-07-09,1.3897
2010-07-12,1.3996
2010-07-13,1.4193
2010-07-14,1.439
2010-07-15,1.4291
2010-07-16,1.4193
2010-07-19,1.4193
2010-07-20,1.4489
2010-07-21,1.4883
2010-07-22,1.4784
2010-07-23,1.508
2010-07-26,1.5573
2010-07-27,1.5474
2010-07-28,1.508
2010-07-29,1.5277
2010-07-30,1.5277
2010-08-02,1.5671
2010-08-03,1.5573
2010-08-04,1.5967
2010-08-05,1.5967
2010-08-06,1.6657
2010-08-09,1.715
2010-08-10,1.7347
2010-08-11,2.1684
2010-08-12,1.9121
2010-08-13,1.9515
2010-08-16,2.0895
2010-08-17,2.0402
2010-08-18,2.2669
2010-08-19,2.1388
2010-08-20,2.1191
2010-08-23,2.2472
2010-08-24,2.1585
2010-08-25,2.1585
2010-08-26,2.3556
2010-08-27,2.3753
2010-08-30,2.5429
2010-08-31,2.878
2010-09-01,3.2328
2010-09-02,2.9963
2010-09-03,3.154
2010-09-06,3.1638
2010-09-07,3.0554
2010-09-08,3.1145
2010-09-09,3.0948
2010-09-10,3.0554
2010-09-13,2.9076
2010-09-14,2.6710000000000003
2010-09-15,2.533
2010-09-16,2.3852
2010-09-17,2.6119
2010-09-20,2.9864
2010-09-21,3.3117
2010-09-22,3.1934
2010-09-23,2.8977
2010-09-24,3.016
2010-09-27,3.1047
2010-09-28,3.0653
2010-09-29,3.0653
2010-09-30,3.0061
2010-10-01,2.947
2010-10-04,2.8583
2010-10-05,2.9174
2010-10-06,2.8977
2010-10-07,2.8386
2010-10-08,2.7499
2010-10-11,2.7597
2010-10-12,2.6217
2010-10-13,2.6415
2010-10-14,2.6316
2010-10-15,2.5922
2010-10-18,2.5626
2010-10-19,2.464
2010-10-20,2.533
2010-10-21,2.5527
2010-10-22,2.6415
2010-10-25,2.533
2010-10-26,2.3162
2010-10-27,2.395
2010-10-28,2.3458
2010-10-29,2.3655
2010-11-02,2.4148
2010-11-03,2.4049
2010-11-04,2.5035
2010-11-05,2.5133
2010-11-08,2.6612
2010-11-09,2.6217
2010-11-10,2.6217
2010-11-12,2.6612
2010-11-15,2.6612
2010-11-16,2.6710000000000003
2010-11-17,2.7104
2010-11-18,2.9568
2010-11-19,2.8977
2010-11-22,2.9766
2010-11-23,2.8681
2010-11-24,2.9076
2010-11-25,2.878
2010-11-26,2.8681
2010-11-29,2.7893
2010-11-30,2.7006
2010-12-01,2.7696
2010-12-02,2.8583
2010-12-03,2.8089999999999997
2010-12-06,2.7794
2010-12-07,2.7499
2010-12-08,2.7203
2010-12-09,2.7203
2010-12-10,2.7499
2010-12-13,2.74
2010-12-14,2.7696
2010-12-15,2.7597
2010-12-16,2.7203
2010-12-17,2.7597
2010-12-20,2.8977
2010-12-21,3.1047
2010-12-22,3.0751
2010-12-23,3.0456
2010-12-27,3.0751
2010-12-28,3.0357
2010-12-29,3.0456
2010-12-30,3.0554
2010-12-31,3.0554
2011-01-03,3.0357
2011-01-04,3.1835
2011-01-05,3.2230000000000003
2011-01-07,3.1835
2011-01-10,3.0554
2011-01-11,3.0456
2011-01-12,3.085
2011-01-13,3.1343
2011-01-14,3.4004
2011-01-17,3.7946
2011-01-18,3.7946
2011-01-19,3.7355
2011-01-20,4.041
2011-01-21,4.248
2011-01-24,4.8098
2011-01-25,4.7605
2011-01-26,4.8394
2011-01-27,5.0266
2011-01-28,5.1153
2011-01-31,4.8788
2011-02-01,4.7408
2011-02-02,5.2238
2011-02-03,4.9774
2011-02-04,4.9281
2011-02-07,4.9971
2011-02-08,5.4209
2011-02-09,5.962999999999999
2011-02-10,5.7659
2011-02-11,6.0714
2011-02-14,6.239
2011-02-15,6.5642
2011-02-16,7.1457
2011-02-17,7.4414
2011-02-18,7.6681
2011-02-21,7.609
2011-02-22,5.9137
2011-02-23,6.3572
2011-02-24,6.5938
2011-02-25,6.4065
2011-02-28,5.8348
2011-03-01,6.101
2011-03-02,5.9728
2011-03-03,6.0221
2011-03-04,6.0714
2011-03-07,6.2587
2011-03-08,6.7219
2011-03-09,7.2837
2011-03-10,7.1654
2011-03-11,6.919
2011-03-14,7.2344
2011-03-15,6.919
2011-03-16,7.0077
2011-03-17,7.0964
2011-03-18,6.9683
2011-03-21,7.1556
2011-03-22,7.1753
2011-03-23,7.5892
2011-03-24,7.6287
2011-03-25,7.7765
2011-03-28,8.1116
2011-03-29,8.2792
2011-03-30,8.1905
2011-03-31,8.0821
2011-04-01,8.1806
2011-04-04,8.2496
2011-04-05,8.3679
2011-04-06,8.151
2011-04-07,8.2102
2011-04-08,8.2102
2011-04-11,8.2102
2011-04-12,8.1905
2011-04-13,8.3975
2011-04-14,8.2693
2011-04-15,8.8705
2011-04-18,9.0972
2011-04-19,9.2747
2011-04-20,9.541
2011-04-21,9.56
