Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-09-07,0.41583,0.42087,0.41079,0.41583,23669718
1984-09-10,0.41583,0.41708,0.40581,0.41334,18371562
1984-09-11,0.41708,0.42839,0.41708,0.42087,43321235
1984-09-12,0.42087,0.42337,0.40828,0.40828,37844792
1984-09-13,0.43093,0.43215,0.43093,0.43093,58941865
1984-09-14,0.43215,0.44723,0.43215,0.43719,70181304
1984-09-17,0.44849,0.45477,0.44849,0.44849,54796306
1984-09-18,0.44849,0.45228,0.43215,0.43215,27662429
1984-09-19,0.43215,0.43719,0.42337,0.42337,30215978
1984-09-20,0.42463,0.42839,0.42463,0.42463,18810964
1984-09-21,0.42463,0.43719,0.41583,0.42087,28381993
1984-09-24,0.42087,0.42337,0.41708,0.41708,22459810
1984-09-25,0.41583,0.41583,0.40828,0.40828,47415847
1984-09-26,0.40828,0.42712,0.4033,0.4033,31546888
1984-09-27,0.4033,0.40581,0.4033,0.4033,30114092
1984-09-28,0.4033,0.4033,0.3857,0.39319,66354156
1984-10-01,0.39197,0.39197,0.38441,0.38441,27796152
1984-10-02,0.38693,0.40077,0.38693,0.38693,33616460
1984-10-03,0.39319,0.39951,0.39319,0.39319,34234167
1984-10-04,0.39821,0.40077,0.39821,0.39821,35673323
1984-10-05,0.39821,0.39821,0.38693,0.38945,27738847
1984-10-08,0.38945,0.39197,0.38945,0.38945,13353620
1984-10-09,0.38945,0.39197,0.3857,0.3857,35609639
1984-10-10,0.3857,0.3857,0.37439,0.37439,103721356
1984-10-11,0.37439,0.38441,0.37187,0.37187,51956200
1984-10-12,0.37187,0.37439,0.35301,0.35552,75562238
1984-10-15,0.37562,0.37939,0.37562,0.37562,69156062
1984-10-16,0.37562,0.37689,0.37439,0.37439,33552797
1984-10-17,0.38945,0.39197,0.38945,0.38945,44531164
1984-10-18,0.40077,0.4033,0.40077,0.40077,70264087
1984-10-19,0.40077,0.42839,0.39951,0.40077,92711161
1984-10-22,0.40077,0.40702,0.39821,0.39821,32623075
1984-10-23,0.40702,0.41079,0.40702,0.40702,53000553
1984-10-24,0.41079,0.41583,0.41079,0.41079,47479528
1984-10-25,0.41079,0.41079,0.39572,0.39572,44964189
1984-10-26,0.39572,0.39572,0.38441,0.3857,32648536
1984-10-29,0.38693,0.38945,0.38693,0.38693,14397965
1984-10-30,0.39197,0.39572,0.39197,0.39197,21205315
1984-10-31,0.39197,0.39572,0.38945,0.38945,17123452
1984-11-01,0.39197,0.39572,0.39197,0.39197,13372715
1984-11-02,0.39197,0.39319,0.38693,0.38945,7870800
1984-11-05,0.38945,0.39821,0.38693,0.38693,29954895
1984-11-06,0.41079,0.41334,0.41079,0.41079,64055332
1984-11-07,0.41079,0.41334,0.4033,0.4033,65825620
1984-11-08,0.4033,0.4033,0.38693,0.38693,25051559
1984-11-09,0.38693,0.38945,0.36056,0.36432,83617714
1984-11-12,0.37689,0.37939,0.37689,0.37689,32196414
1984-11-13,0.37689,0.3857,0.36809,0.36809,36010830
1984-11-14,0.37187,0.37562,0.37187,0.37187,29661952
1984-11-15,0.37187,0.37562,0.37187,0.37187,30305122
1984-11-16,0.37187,0.37689,0.36182,0.36432,47122925
1984-11-19,0.36432,0.36683,0.34298,0.34298,66233163
1984-11-20,0.35426,0.35552,0.35426,0.35426,74836281
1984-11-21,0.36182,0.36432,0.36182,0.36182,50809963
1984-11-23,0.36683,0.37689,0.36683,0.37187,38971915
1984-11-26,0.37562,0.37562,0.37562,0.37562,28611260
1984-11-27,0.3857,0.38945,0.3857,0.3857,36220963
1984-11-28,0.40581,0.41583,0.40581,0.40581,116705647
1984-11-29,0.40581,0.40581,0.39821,0.39821,49714688
1984-11-30,0.39821,0.40077,0.3857,0.38693,30903725
1984-12-03,0.38693,0.38945,0.38192,0.38192,27859833
1984-12-04,0.38945,0.39821,0.38945,0.38945,34221425
1984-12-05,0.40828,0.40828,0.40828,0.40828,74740774
1984-12-06,0.42839,0.43093,0.42839,0.42839,90195821
1984-12-07,0.42839,0.44474,0.42463,0.42712,140585482
1984-12-10,0.42712,0.42712,0.41836,0.41836,31693341
1984-12-11,0.41836,0.42463,0.41334,0.41334,35189352
1984-12-12,0.41334,0.41334,0.39951,0.39951,31292173
1984-12-13,0.4033,0.41079,0.4033,0.4033,19001992
1984-12-14,0.4033,0.41708,0.4033,0.41334,27331296
1984-12-17,0.42337,0.42712,0.42337,0.42337,35603282
1984-12-18,0.44849,0.44974,0.44849,0.44849,96818483
1984-12-19,0.44849,0.44974,0.43093,0.43093,90259496
1984-12-20,0.43093,0.43845,0.42839,0.42839,39755186
1984-12-21,0.42839,0.43093,0.41836,0.42337,35221195
1984-12-24,0.43093,0.43215,0.43093,0.43093,19199409
1984-12-26,0.43215,0.43719,0.43215,0.43215,19097525
1984-12-27,0.43467,0.43719,0.43467,0.43467,28076341
1984-12-28,0.43467,0.45228,0.43215,0.44974,47001922
1984-12-31,0.45603,0.45853,0.45603,0.45603,59062843
1985-01-02,0.45603,0.45603,0.43719,0.43719,49835657
1985-01-03,0.44474,0.45603,0.44474,0.44474,47364887
1985-01-04,0.44474,0.44723,0.43845,0.44474,39022862
1985-01-07,0.44474,0.44723,0.44225,0.44225,48587556
1985-01-08,0.44225,0.44723,0.43845,0.43845,40118146
1985-01-09,0.44974,0.45603,0.44974,0.44974,47396750
